name,N,pos_tbng,pos_tbg,pos_ref,mortality,mortality_low,mortality_high,mortality_ref,rec_rate,rec_rate_low,rec_rate_high,rec_rate_ref,abundance,size,abundance_high,abundance_low,abundance_ref,theta,theta_ref,contrib,K
Human,3580,0,44,"or 43? Grebaut (2001) Vs Njiokou (2006)",0.019,0.0152,0.0228,"World Bank",0.69,0.29614864864865,0.97780385254718,"Checchi thesis -- Low bound of recovery rate is 1/(stage 1 high duration + Stage2 high duration) Assuming that noone ever stays at home. Upper bound is 1/(stage 1 low duration) Assuming that everyone stays at home when infected. Should consider these alternative hypoptheses: 1) Stage 2 patients take part in transmission, 2) They don't",7,13092,5.6,8.4,"van Dijk (1999) Via Massussi (2009). Abundance estimated +- 20%. Too much?",0.388,"Simo (2008)",0.00075902196719,
Sheep,187,57,13,"Njiokou (2010)",0.13,0.1,0.2,"estimated according to Njokou (2010) To be 5-10 years",0,1,12,"Scott (1983) And references therein",1.09692737430168,187,0.87754189944134,1.31631284916201,"extrapolated from human abundance and the notion that one in every three animals was sampled, See Njiokou (2010)",0.015,"Simo (2008)",2.31501007206795E-05,
Goat,185,36,6,"Njiokou (2010)",0.13,0.1,0.2,"estimated according to Njokou (2010) To be 5-10 years",0,1,12,,1.08519553072626,185,0.86815642458101,1.30223463687151,"extrapolated from human abundance and the notion that one in every three animals was sampled, See Njiokou (2010)",0.0132222222,"extrapolated from ""others"" In Simo (2008)",2.20246667490096E-05,
Pig,215,19,1,"Njiokou (2010)",1,0.67,2,"estimated according to Njokou (2010) To be 6-18",0,1,12,,1.26117318435754,215,1.00893854748603,1.51340782122905,"extrapolated from human abundance and the notion that one in every three animals was sampled, See Njiokou (2010)",0.448,"Simo (2008)",0.00019139858126,
"White-eyelid mangabey",5,0,1,"Njiokou (2006)",0.03333333333333,0.02666666666667,0.04,"Grzimek (1990) Via AnAge",0,1,12,,0.0547619047619,0,0.03571428571429,0.07380952380952,"extrapolated from Mona Monkey",0.0132222222,"extrapolated from ""others"" In Simo (2008)",3.44672475692107E-07,
"G. white-nosed monkey",80,4,4,"Njiokou (2006)",0.03225806451613,0.0258064516129,0.03870967741935,"Weigl (2005) Via AnAge",0,1,12,,0.31,580,0.22,0.4,"Massussi (2009)",0.0132222222,"extrapolated from ""others"" In Simo (2008)",1.59006798854757E-06,
"Blackstriped duiker",16,3,1,"Njiokou (2006)",0.05714285714286,0.04571428571429,0.06857142857143,"Weigl (2005) Via AnAge",0,1,12,,0.17,318,0.11,0.23,"Massussi (2009)",0.0132222222,"extrapolated from ""others"" In Simo (2008)",1.56523264091692E-06,
"Blue duiker",200,7,4,"Njiokou (2006)",0.08333333333333,0.06666666666667,0.1,"Grzimek (1990) Via AnAge",0,1,12,,0.82,1534,0.69,0.95,"Massussi (2009)",0.0132222222,"extrapolated from ""others"" In Simo (2008)",1.05328483254979E-05,
"Brush-tailed porcupine",100,11,2,"Njiokou (2006)",0.04366812227074,0.03493449781659,0.05240174672489,"Nowak (1991) Via AnAge",0,1,12,,4.13,7724,3.27,4.99,"Massussi (2009)",0.0132222222,"extrapolated from ""others"" In Simo (2008)",2.7798911652555E-05,
"Giant rat",125,2,3,"Njiokou (2006)",0.11904761904762,0.0952380952381,0.14285714285714,"Weigl (2005) Via AnAge",0,1,12,,0.39,729,0.34,0.44,"Massussi (2009)",0.0132222222,"extrapolated from ""others"" In Simo (2008)",7.18579466428662E-06,
"Small-spotted genet",8,0,1,"Njiokou (2006)",0.06756756756757,0.05405405405405,0.08108108108108,"Weigl (2005) Via AnAge",0,1,12,,0.12,0,0.04,0.2,"extrapolated from Dark Mongoose",0.0132222222,"extrapolated from ""others"" In Simo (2008)",1.3997509706133E-06,
"Two-spotted palm civet",29,1,2,"Njiokou (2006)",0.04761904761905,0.03809523809524,0.05714285714286,"Weigl (2005) Via AnAge",0,1,12,,0.07,131,0.05,0.09,"Massussi (2009)",0.0132222222,"extrapolated from ""others"" In Simo (2008)",5.40819420796117E-07,
